row_id,variable,class,symbol,definition,unit,evidence_source_ids,D003_availability,D003_value_or_note,identifiability,notes
H01,initial speed,STATE,v0,ego speed at TOR,m/s,S17;S18,DIRECT,"motorway, 100 km/h limit; entry speed differs by cell (B11)",IDENTIFIABLE,Largest model elasticity.
H02,distance to hazard,STATE,d0,longitudinal distance from ego front to hazard at TOR,m,S18,DERIVED,distance_to_collision channel; hazard position itself not documented,PARTIALLY IDENTIFIABLE,Reference point of the hazard (front/rear/centre) not documented.
H03,time to collision,STATE (derived),TTC,d0 / closing speed,s,S18;S17,DIRECT (channel) with domain issues,TOR at TTC ≈ 7 s; channel invalid when stopped (B13),IDENTIFIABLE,Within the channel domain only (B13). Not the complete hazard state: identical TTC can arise at different v0 and d0 with very different required braking.
H04,relative speed / hazard motion,STATE,dv,closing speed; stationary vs moving obstacle,m/s,S18;S17,INFERRED,"dictionary TTC = distance / ego speed, consistent with a stationary obstacle; not stated by owners",PARTIALLY IDENTIFIABLE,"Treat 'stationary' as an inference, not a fact."
H05,hazard geometry,STATE,"w_h, y_h","obstacle width, lateral position, lane occupied",m,S17,NOT AVAILABLE,'a collision ahead' only (B10),NOT IDENTIFIABLE,Needed for any lateral/combined requirement.
H06,road friction,ENVIRONMENT,mu,tyre-road friction coefficient,-,S04;S27,NOT AVAILABLE (simulator),not reported; real-world wetted test sections 0.49-0.75 (S04),EXTERNALLY PARAMETERISED,Caps both braking and lateral acceleration.
H07,road grade,ENVIRONMENT,theta,longitudinal slope,rad,S17;S27,NOT AVAILABLE,straight motorway; grade not reported,EXTERNALLY PARAMETERISED,"g·sin(theta): 2% ≈ 0.2 m/s2, comparable to drag, small vs a_max; material only for a_pre-scale effects."
H08,adjacent-lane availability,MANOEUVRE CONSTRAINT,L_adj,existence of a usable adjacent lane,-,S17,DIRECT (protocol),two-lane motorway; lane change instructed,IDENTIFIABLE,-
H09,adjacent-lane occupancy / gaps,STATE,gap(t),positions and speeds of vehicles in the target lane,"m, m/s",S17;S18,PARTIAL,density 0/10/20 veh/km; laneGap semantics unresolved (B5); adjacent-lane zero semantics unresolved,PARTIALLY IDENTIFIABLE,Determines whether steering escape is available.
H10,escape-path availability,DERIVED CONSTRAINT,E,whether a collision-free lateral path exists within the time available,-,S16,NOT AVAILABLE,requires H05 and H09,NOT IDENTIFIABLE,"Binary/graded feasibility, derived from geometry, gaps and vehicle limits."
H11,required lateral offset,MANOEUVRE CONSTRAINT,y_req,lateral displacement needed to clear the hazard,m,S27,NOT AVAILABLE,requires hazard width and position,NOT IDENTIFIABLE,-
H12,lateral acceleration limit,MANOEUVRE CONSTRAINT,"a_y,max",maximum usable lateral acceleration,m/s2,S27,EXTERNAL,<= mu g,EXTERNALLY PARAMETERISED,Friction is shared between braking and steering in combined manoeuvres.
H13,scenario urgency,DERIVED,T_available - T_required,time margin for a given manoeuvre,s,S27;S17,DERIVED,D003 non-critical for braking: 7 s ≫ modelled braking T_required 1.1-3.6 s,PARTIALLY IDENTIFIABLE,Manoeuvre-specific; TTC alone is not urgency.
H14,lane width / road layout,ENVIRONMENT,w_lane,lane width and number of lanes,m,S17,PARTIAL,two lanes; width not reported,EXTERNALLY PARAMETERISED,-
