row_id,phenomenon,parameter,physical_meaning,candidate_symbol,evidence_source_ids,vehicle_type,powertrain_or_control_architecture,test_scenario,measurement_method,reported_range,units,confidence,directly_measured_or_inferred,relevant_to_human_fallback,layer_assignment,status,notes
V01,pre-effective deceleration (aggregate),a_pre,net longitudinal deceleration between TOR and the onset of effective human braking,a_pre,S02;S31;S12;S28;S07;S08,any,"sum of drag, powertrain drag / lift-off regen, and any automation command",TOR to effective human input,not a single measured quantity; decomposes into V02-V05 and transition rows T04/T08,0 (automation holds speed) to about 4 (strong lift-off regen or automation braking),m/s2,MEDIUM,INFERRED,YES (largest model elasticity after v0 and a_max),INTERACTION (vehicle x transition),CONTEXT-DEPENDENT,Not an EV-vs-ICE property. Which component applies depends first on the transition policy (does automation keep control?) and only then on the powertrain. See report section 4.
V02,coast / drag deceleration,a_drag,"deceleration from rolling resistance, driveline in neutral and aerodynamic drag, no propulsion or braking",a_drag,S07;S27,"light-duty vehicles, US certification fleet MY2024 (1,537 unique configurations)",all powertrains (road-load only; regen and engine braking excluded),coast-down (road-load determination),EPA target coefficients A+Bv+Cv^2 divided by equivalent test weight (src/experiments/r3a_coastdown_epa.py),"100 km/h: median 0.31, 5-95% 0.22-0.40 (non-electric 0.32, BEV road-load 0.23); 130 km/h: median 0.46",m/s2,HIGH (dataset) / MEDIUM (conversion assumptions),DERIVED FROM MEASURED,YES (lower bound of a_pre when propulsion is released and nothing else acts),VEHICLE,DISTRIBUTION,Speed-dependent. An order of magnitude below regen / automation deceleration: a_pre above ~0.5 m/s2 cannot come from drag alone.
V03,ICE engine braking on accelerator release,a_engine_brake,additional deceleration from engine pumping/friction when the accelerator is released in gear,a_eb,S07;S27,ICE passenger cars,"gear, transmission (manual / automatic / CVT coasting logic) and fuel cut-off dependent",accelerator release in gear,no verified numeric source retrieved,>= a_drag (V02); upper value not established from sources checked,m/s2,LOW,NOT MEASURED,YES (component of a_pre after automation releases propulsion),VEHICLE,CONTEXT-DEPENDENT,Modern automatics may coast or downshift; a single ICE value would be invented.
V04,accelerator-release deceleration (EV lift-off regen),a_liftoff,deceleration produced by regenerative torque when the accelerator is released,a_lift,S08;S26;S23;S01,production BEVs,"category A regen (not part of service brake), driver-selectable strength",accelerator lift-off at speed,"on-road logging (S08, 4 EV models); dataset documentation (S26); regulation anticipates magnitudes via stop-lamp bands (S01)",about 1 to 4 depending on regen setting; R13-H requires stop-lamp above 1.3 and allows it from 0.7,m/s2,MEDIUM-LOW,MEASURED (small samples) / REGULATORY CONTEXT,YES if automation releases the accelerator at TOR,VEHICLE,CONTEXT-DEPENDENT,"Mode-dependent (driver setting, state of charge, temperature, speed). The stop-lamp rule shows lift-off regen above 1.3 m/s2 is expected in practice, but gives no distribution."
V05,regen-only maximum deceleration,a_regen_max,maximum deceleration available from the electric machine alone,a_regen_max,S26;S23;S08,production BEVs,regen (category A or B),regen-only braking,dataset documentation and multi-EV testing (numeric values of S23 not retrieved),about 1 to 4 (0.1-0.3 g),m/s2,MEDIUM-LOW,MEASURED (documentation) ,LIMITED (emergency braking exceeds regen capacity; friction brakes dominate),VEHICLE,BOUNDED,Bounded well below a_max; irrelevant to saturated emergency braking except through blending transients.
V06,one-pedal deceleration,a_one_pedal,deceleration commanded by partial / full accelerator release in one-pedal mode,a_opd,S08;S22,BEVs with one-pedal mode,"regen, sometimes blended with friction to standstill","urban / car-following; lead-vehicle braking (simulator, S22)",on-road logging; simulator timing study,up to about 3 (≈0.3 g); torque peak 200-300 ms after lift-off (S08 citing Lee et al.),m/s2,MEDIUM-LOW,MEASURED (small samples) / SIMULATOR,"YES (changes throttle-to-brake transition and brake timing, S22)",INTERACTION (vehicle x human),CONTEXT-DEPENDENT,Timing effect on the human (S22) is more relevant to fallback than the magnitude.
V07,low-speed regen roll-off,v_rolloff,fade of regenerative torque near standstill,"v_threshold, floor",S26,BEVs,regen,approach to standstill,qualitative engineering descriptions,no numeric threshold or fade rate found,m/s,LOW,NOT MEASURED,LOW (affects final metres of a stop),VEHICLE,NOT IDENTIFIABLE,"Code has v_rolloff parameters (R1 profile: 5 m/s, floor 0.2) that are COUNTERFACTUAL."
V08,friction-brake actuation delay,t2,time from brake command to onset of deceleration,t2 (code: t_delay),S20;S01;S04,light passenger vehicles,"hydraulic friction brakes (S20, S04); any power-assisted service brake (S01)",hard braking tests; type approval,instrumented tests (S20: 4 vehicles); regulatory response-time limit (S01); braking initiation time incl. pedal free travel (S04),"hydraulic hard braking 0.05-0.17 (S20); pedal touch to deceleration 0.1-0.4 (S04); regulatory upper bound 0.6 to prescribed performance, incl. build-up (S01)",s,MEDIUM,MEASURED,YES (small; ~0.1 s scale),VEHICLE,BOUNDED,S04 values include pedal free travel and human application speed. Brake-by-wire (V16) only bounded by the regulatory 0.6 s.
V09,deceleration build-up,t3,time from deceleration onset to full / saturated deceleration,t3 (code: t_buildup),S04;S02;S21,ABS passenger cars,hydraulic friction + ABS; brake assist where fitted,emergency stops (S04); regulatory reference model (S03),pedal-force logging (S04); regulatory model parameter (S03),"time to 10 kg pedal force: professionals 0.05, non-professionals 0.83 (0.63-1.26 by car/condition); pedal touch to max depression 0.3-1.0; R157 benchmark driver 0.6 s 'jerking time to full deceleration' (Annex 3 Table 1)",s,MEDIUM,MEASURED (human-vehicle combined),YES,INTERACTION (vehicle x human),CONTEXT-DEPENDENT,"Build-up is dominated by how fast and firmly the human presses the pedal, not by hardware. A vehicle-only t3 is not identifiable from these sources."
V10,braking jerk,j,rate of change of deceleration during build-up,j = a_max / t3 (derived),S02;S14;S21,passenger cars,human braking; ACC,regulatory reference; comfort standard; naturalistic driving,derived / standard limit / naturalistic logging,"R157 benchmark 0.774 g in 0.6 s ≈ 12.65 m/s3 (Annex 3 Table 1); ACC about 2.5 (ISO 15622, SECONDARY ONLY); naturalistic non-emergency 99th pct about 2.6; human emergency jerk not measured",m/s3,LOW-MEDIUM,DERIVED / REGULATORY,YES (through t3),INTERACTION (vehicle x human),CONTEXT-DEPENDENT,Not an independent parameter once a_max and t3 are fixed.
