variable,layer,current_definition,observable_in_d003,source_supported,directly_measured,inferred,explicit_assumption,model_condition,usable_in_r3b,usable_in_future_synthesis,blocked_reason,provenance_source,uncertainty_representation,human_review_note
TOR time,TRANSITION,protocol-resolved Time_Takeover_Request (26 multi-TOR trials resolved by the protocol rule; 6 unresolved),YES,YES,YES,NO,NO,NO,YES (clock origin t = 0),YES,,R1 ingestion; R2B populations (TOR_ANCHORED 492); D003 dictionary,"event timestamp at 20 Hz; multi-TOR sensitivity (R2B, 472 single-TOR)","Same event in R2 and R3 (TOR = clock origin). Multi-TOR rule does not change conclusions (R2B, R2C)."
t_button,HUMAN,Manual_Start − TOR (mode-switch event marker),YES,YES,YES,NO,NO,NO,NO,YES (as event-timing descriptor only),estimates TOR → authority transfer only under the documented (unverified) Manual_Start design intent; never a braking or control-input time,"R2B/R2C; median 1.65 s, IQR 1.25–2.00, n = 492","empirical distribution; within-participant exposure slope −0.033 s/exposure (95% CI −0.058, −0.007)",Must not be mapped onto t1 (effective braking) or authority transfer.
t1,HUMAN x TRANSITION,TOR → effective human braking command (R3B model quantity),NO,NO,NO,NO,YES,NO,YES (assumption interval 1.15–3.0 s; supplement 4.0 s),CONDITIONAL (assumption only),effective braking onset not observable: control channels not driver-only (B17),R3B §3 / registry P02; lower end = R157 Annex 3 benchmark (not a takeover measurement),explicit assumption interval; dominant driver of R3B width,"No D003 or public source identifies it for takeovers; t_button, Manual_Start and meta-analysis takeover time are different quantities."
t2,VEHICLE,brake actuation delay after the braking command,NO,YES,NO,NO,NO,NO,YES (0.05–0.17 s),YES (generic hydraulic vehicle interval),D003 simulator vehicle undocumented (V21),"registry P08; S20 (prior-phase record), S01, S04",source-supported interval,"Generic passenger-car evidence, not the D003 vehicle."
t3,VEHICLE x HUMAN,deceleration build-up time (human pedal application × vehicle),NO,PARTIAL,NO,NO,YES,NO,YES (assumption interval 0.3–1.2 s),CONDITIONAL (assumption only),human pedal dynamics dominate; vehicle-only t3 not separable; D003 brake channel not driver-only (B17),"registry P09; informed by S02, S04",explicit assumption interval,"Informed by, not measured from, instrumented stops."
first human input,HUMAN,"first human input on any control, whatever its effect (E_first_human_input)",NO,NO,NO,NO,NO,NO,NO,NO,latent: first channel activity is not attributable to the driver (B17),SYSTEM_EVENT_REGISTRY,not represented,E_first_channel_activity is observable but is not this event.
effective human control,HUMAN x TRANSITION,first human input that changes motion on a channel the human has authority over,NO,NO,NO,NO,YES,YES,YES (= t1 by model definition),CONDITIONAL (assumption only),"latent in D003 (B17, B7)",SYSTEM_EVENT_REGISTRY; R3B timeline,assumption interval via t1,Identical to t1 only inside the R3B model.
authority transfer,TRANSITION,instant the automation's longitudinal command ends and the driver's command becomes the one applied (exclusive handover),NO,PARTIAL,NO,NO,YES,YES,"YES (at effective control, or f·t1 with f ∈ [0, 1])",CONDITIONAL (assumption only),not directly observable; documented design intent: Manual_Start switches to manual mode and enables manual inputs (dictionary; S17); behaviour unverified,"R3B-0 spec; R157 §6.2.5, §6.3 (S02, S31); registry P24",explicit assumption (f interval),"Must not be equated with TOR. Candidate: Manual_Start under documented design intent, pending internal verification."
braking command magnitude,HUMAN x VEHICLE,fraction u of vehicle braking capability commanded after effective control,NO,NO,NO,NO,NO,YES,"YES (u = 1, capability bound)",NO as behaviour; CONDITIONAL as capability bound,driver braking strength not observable (B17); crash evidence abstract-level and other context,R3B model condition; registry P14 (blocked),fixed at 1,"u = 1 is a bound, not observed behaviour."
a_pre,VEHICLE x TRANSITION,"net deceleration between TOR and effective human braking; policy before authority, vehicle-only after",PARTIAL,PARTIAL,NO,NO,YES,YES,"YES (P0/P1/P2 branches; drag source-supported, a_sup assumed)",CONDITIONAL,D003 vehicle kinematics observable but window (effective control) and authorship of actuation undocumented (B17 cell-specific pattern),"R3A §4; R3B §2; EPA drag (S07); registry P03, P06, P25",branch-wise intervals,Policy-dependent; not an EV/ICE property.
