param_id,symbol,definition,unit,layer,source_ids,source_year,source_population_or_vehicle_class,scenario,value_type,value_low,value_central,value_high,value_text,confidence,assumptions,status,transferable_to_current_model,currently_used_in_code,code_reference,code_value,synthesis_entry,source_quality_flag,interval_readiness
P01,v0,ego speed at TOR,m/s,HAZARD,S17,2025,"D003 simulator, motorway",scenario grid / D003 per-cell speed,RANGE,,27.8,,D003 speed limit 100 km/h (27.8 m/s); per-cell entry speed differs (B11),HIGH,"scenario input, not estimated",FIXED,YES,YES,src/scenarios/models.py:ScenarioConfig.v0,scenario argument,YES,OK,READY AS FIXED / DIRECTLY SUPPORTED
P02,t1,time from TOR to effective human brake command (code: t_reaction),s,HUMAN,S02;S31;S09;S25,2019;2021;2023,regulatory reference; meta-analysis of takeover studies,braking takeover,RANGE,1.15,,3.0,"R3B assumption interval for sensitivity analysis [1.15, 3.0] s: lower end = UN R157 Annex 3 attentive-driver benchmark 0.4 + 0.75 s (S02; regulatory reference, not a takeover measurement); upper end = scenario choice. Not t_button, not Manual_Start, not the takeover-time meta-analysis mean. Legacy code default 1.0 s.",LOW,"effective braking onset is latent in D003 (B17); interval is an assumption, not an estimate",NOT IDENTIFIABLE,PARTIAL,YES,src/driver/models.py:HumanDriverConfig.t_reaction,1.0,CONDITIONAL,OK,CONDITIONAL / SCENARIO-SPECIFIC
P03,a_drag,coast / drag deceleration at 100 km/h,m/s2,VEHICLE,S07,2025,"US light-duty certification fleet MY2024 (1,537 configurations)","coast-down, level road",DISTRIBUTION,0.218,0.3145,0.4002,5th / 50th / 95th percentile at 100 km/h; speed-dependent (research/data_matrix/r3a_epa_coastdown_deceleration.csv),HIGH,mass = equivalent test weight; no rotational inertia; still air,DISTRIBUTION,YES,NO,,,YES,OK,READY AS BOUNDED INTERVAL
P04,a_liftoff,EV accelerator-release (lift-off regen) deceleration,m/s2,VEHICLE,S08;S26;S01,2026,production BEVs (4 models in S08),accelerator release at speed,RANGE,1.0,,4.0,driver-selectable; R13-H stop-lamp bands (0.7 / 1.3 m/s2) anticipate this range,MEDIUM,"mode, state of charge, temperature and speed dependent",CONTEXT-DEPENDENT,PARTIAL,NO,,,CONDITIONAL,OK,CONDITIONAL / SCENARIO-SPECIFIC
P05,a_engine_brake,ICE engine-braking deceleration on accelerator release,m/s2,VEHICLE,S07,2025,ICE passenger cars,accelerator release in gear,BOUND,0.218,,,lower bound = drag (P03); upper value not established,LOW,transmission coasting logic may remove engine braking entirely,NOT IDENTIFIABLE,NO,NO,,,NO,OK,NOT IDENTIFIABLE
P06,a_pre_auto,automation-commanded deceleration between TOR and effective human input,m/s2,TRANSITION,S02;S31;S12;S14,2019;2021;2023,regulated L3 / traffic-simulation ToC models,continued support during transition,BOUND,0,,5.0,policy-defined; R157 §5.4.3 allows speed reduction during the transition phase (no standstill unless required); a system demand above 5.0 m/s2 would be an emergency manoeuvre (§5.3.1.1); ISO 15622 ACC envelope about 3.5 m/s2 is SECONDARY ONLY,MEDIUM,"a design choice of the automation, not a vehicle property",BOUNDED,YES,PARTIAL,src/vehicle/models.py:calculate_acceleration (W0 branch),0 (W0 holds speed),CONDITIONAL,OK,CONDITIONAL / SCENARIO-SPECIFIC
P07,a_coast,code parameter: deceleration during the pre-reaction interval under W1 (immediate withdrawal),m/s2,INTERACTION,S07;S08,2025;2026,-,W1 counterfactual,POINT,,2.0,,"A1 used 2.0 m/s2: about 6x the EPA drag median, i.e. a lift-off-regen / engine-braking / release value, not drag",LOW,W1 is a counterfactual policy,CONTEXT-DEPENDENT,PARTIAL,YES,src/vehicle/models.py:VehicleResponseConfig.a_coast; src/experiments/a1_runner.py,0.0 or 2.0,CONDITIONAL,OK,CONDITIONAL / SCENARIO-SPECIFIC
P08,t2,brake actuation delay (code: t_delay),s,VEHICLE,S20;S01;S04,2007;2014,"light passenger vehicles, hydraulic brakes",hard braking,RANGE,0.05,0.10,0.17,hydraulic hard braking 0.05-0.17 s; regulatory upper bound 0.6 s to prescribed performance (incl. build-up),MEDIUM,hydraulic friction brakes; brake-by-wire only bounded,BOUNDED,YES,YES,src/vehicle/models.py:VehicleResponseConfig.t_delay,0.05-0.10,YES,OK,READY AS BOUNDED INTERVAL
P09,t3,deceleration build-up time (code: t_buildup),s,INTERACTION,S04;S03,2007;2025,ABS passenger cars; regulatory reference model,emergency stops,RANGE,0.3,0.6,1.2,"R3B assumption interval for sensitivity analysis [0.3, 1.2] s, informed by the R157 benchmark 0.6 s (S02) and non-professional pedal build-up 0.83 s mean, up to 1.26 s (S04); not a measured takeover build-up",MEDIUM,human pedal application dominates; vehicle-only t3 not identifiable,CONTEXT-DEPENDENT,PARTIAL,YES,src/vehicle/models.py:VehicleResponseConfig.t_buildup,0.0 or 0.5,CONDITIONAL,OK,CONDITIONAL / SCENARIO-SPECIFIC
P10,a_max_dry,"maximum achievable deceleration, dry, ABS",m/s2,VEHICLE,S04;S01;S02,2007;2023,"ABS passenger cars (2 models, 2007); approval floor",emergency stop 80-130 km/h,RANGE,6.43,8.4,9.1,approval floor 6.43 (R13-H); professional mean 8.4; 100-70 km/h interval about 9.1; non-professionals 7.4; R157 benchmark 0.774 g ≈ 7.59 at road friction 1.0,MEDIUM-HIGH,"capability, not the deceleration a typical driver achieves (P14)",BOUNDED,YES,YES,src/vehicle/models.py:VehicleResponseConfig.a_max,8.5,YES,OK,READY AS BOUNDED INTERVAL
