quantity,publicly_observable,parameterisable,evidence_route,identifiability_blocker,decision
Initial speed,YES,YES,Direct/controlled,No,Use observed or scenario grid.
TTC / hazard distance,YES,YES,Direct/derived/controlled,No,Derive from relative distance/speed where possible.
TOR lead time,YES,YES,Controlled + literature (L001/L002/L007/L008),No,Core experimental axis; treat as scenario-dependent per L001/L002.
Human reaction time,YES,YES,Observed/literature,No - blocks only a single-constant treatment,"Fixed constant first (Phase 1), BUT L014 shows brake onset in real emergencies is kinematic-urgency-dependent, not a fixed latency. Log this as a named Phase-1 simplification to be revisited in Phase 3, not as evidence the fixed assumption is wrong for a first mechanism-isolation test."
Actual longitudinal acceleration,YES,YES,Direct,No,Available continuously in D001/D004/D005.
Brake / accelerator onset (pedal signal),PARTIAL - varies by dataset,YES,Direct/derived,No - but degrades to parameterised-only in naturalistic sources,"D001 (ADAS-TO) confirmed BINARY brake/accel flags only, not continuous pedal position/force. D004/D005 status unconfirmed at file level. Continuous B_map shape cannot be fit from D001 alone; must rely on COUNTERFACTUAL/LITERATURE_CONSTRAINED profile shapes (P1-P4) for the transient mapping, validated only qualitatively against continuous-acceleration outcome traces."
Vehicle response mapping (B_map transient shape),PARTIAL,YES,"Empirical (L004, L011 qualitative) + parameterised",No,"Generic profiles (P1-P4) are identifiable as COUNTERFACTUAL/LITERATURE_CONSTRAINED constructs anchored to L004 (one-pedal timing effects) and L011 (real inter-manufacturer deceleration/jerk differences); proprietary OEM calibration (exact blending curve) is NOT identifiable and must not be claimed."
Maximum deceleration (a_max),YES / RANGE,YES,Literature/test constrained,No,"Do not equate propulsion type with braking capacity. General passenger-vehicle emergency range ~8-9 m/s^2 on dry road is LITERATURE_CONSTRAINED from general vehicle-dynamics references (non-peer-reviewed sources for the specific number; treat as approximate); can be held equal across profiles for mechanism isolation per experiment_A_spec."
Regen strength / regen deceleration range,PARTIAL,YES,"Observed/range (L006 qualitative, D004 pending file-level check)",No,"Can construct generic profiles; L006 (SAE) confirms cross-vehicle heterogeneity qualitatively but numeric magnitudes are UNVERIFIED (paywalled full text not retrieved in this audit) - do not use unverified numbers in Phase 1 parameterisation."
Regen/friction blending map,NO (full OEM map),YES,Parameterised,No,Must not make product-specific claims; generic nonlinear blending shape (P3) is a COUNTERFACTUAL construct only.
Jerk (build-up rate),YES / RANGE,YES,"Literature-constrained (comfort standards) + observed (L011, D005)",No,"Comfort-range jerk is reasonably well constrained (~1-2.5 m/s^3, ISO 22179 and comfort-standards literature); EMERGENCY-range jerk is only indirectly constrained via L011 (AEB, not human-driven) and D005 (naturalistic, not emergency-hazard-triggered). Flag emergency jerk range as the weakest-constrained profile parameter."
Road friction (mu),RARELY direct,YES,Parameterised,No,"Use controlled sensitivity values; general engineering ranges (dry ~0.7-0.9, wet ~0.4-0.6) found are LITERATURE_CONSTRAINED from secondary/tertiary engineering sources, not a peer-reviewed measurement specific to this project - acceptable for a sensitivity axis, not for a point-estimate claim."
Driver learned vehicle model / familiarity,NO direct ground truth,YES (generic mismatch parameter),Parameterised,No for the mechanism study; YES for any ICE-vs-EV-specific prior claim,"M_mismatch = 0 in Phase 1 (D003). L012 gives a real empirical anchor for HOW mismatch effects scale with change magnitude once the branch reopens, but no dataset in the inventory records driver EV/ICE familiarity - a direct ICE-vs-EV prior claim remains unidentifiable from current data and needs a dedicated human study (Gate C)."
Automation withdrawal policy,YES in simulation,YES,Controlled,No,"Can test immediate vs staged; no identifiability issue since this is a simulator-controlled input, not an observed quantity."
Collision / impact speed,YES,YES,Derived/observed,No,Straightforward simulation outcome.
Stabilisation time (t_stabilise),NOT standardised,YES,Derived operational definition,No,"L009 (Sensors 2024) gives an empirical anchor: driving-metric stabilisation ~8-10 s post-takeover, with physiological recovery lagging. Freeze a driving-metric-based operational definition using this as a plausibility check, and note physiological stabilisation is a slower, separate process not to be conflated with control stabilisation."
Secondary corrections (N_correction),NOT usually direct field,YES,Derived from control series,No,Requires a frozen threshold definition (Phase-0-checklist task); L008's metrics review is a candidate source for a defensible threshold convention.
Acceleration authority (accel_authority),YES / RANGE,YES,Observed (D005) + literature (L013),No,"D005 gives continuous acceleration/jerk traces across 12 EV models for empirical bounds. L013 confirms acceleration-authority differences already shift traffic-conflict-level risk indicators in the field, supporting (not proving) the risk-state-escalation premise of Gate B."
