parameter,role,value_or_range,unit,vehicle_s,speed_condition,road_test_condition,control_mode,measurement_definition,source,source_type,evidence_policy,notes
t_reaction,"control input (chosen, not literature point-value); used in A0 and A1",1.0 (chosen; literature bounds 0.7-1.5),s,generic human drivers (cross-study),varies by study,varies by study,mixed - expected vs surprise reaction paradigms,time from TOR to driver's first physical action,General reaction-time literature + L014,mixed (older HF summary + peer-reviewed naturalistic analysis),EMPIRICAL_RANGE,"Chosen within a real literature range, not a literature point-value itself. Also functions as the scale factor in docs/CAUSAL_MODEL.md's interaction cross-terms (both are proportional to t1)."
a_max,"vehicle_response, held constant across profiles; used in A0 and A1",8-9,m/s^2,generic modern passenger cars with ABS,any (dry-road emergency braking),dry asphalt,automated (AEB) and general engineering consensus - not human-driven-specific,peak achievable deceleration under firm/panic braking,General vehicle-dynamics engineering references (secondary/tertiary for the exact figure),secondary/tertiary,EMPIRICAL_RANGE,"Held constant, so imprecision here affects all conditions equally rather than driving a between-condition conclusion - lower-stakes than the treatment-axis parameters below."
t_delay (friction baseline),"vehicle_response input; A0 treatment context, A1 held-constant nuisance",0.05-0.17,s,4 instrumented light passenger vehicles,not stated in accessible abstract,hard braking test,conventional hydraulic friction brake,time from brake-pedal application to onset of significant deceleration,"Paquette & Porter (2014), Accident Reconstruction Journal 24(2):19-21","professional/trade journal - professionally vetted, not academic peer review",EMPIRICAL_RANGE,"MEDIUM confidence per phase1A_identifiability_final.csv; real, traceable range, not a single point-value claim."
t_delay (excluded - air brake),excluded,0.35-0.6,s,heavy trucks/trailers (air brakes),not applicable,not applicable,air-brake actuation (regulatory test),FMVSS 121 pneumatic pressure-rise timing requirement,"Federal Register, FMVSS No. 121",regulatory standard,EXCLUDE,Wrong vehicle/actuation class for this project - logged only to document the exclusion.
"t_delay (regen variant, R1 only)","vehicle_response input; A0-adjacent, direction-only",qualitative direction only: SHORTER than friction baseline; no magnitude found,s,not applicable,not applicable,not applicable,regen-blended braking (electric motor torque response),"time from brake-pedal application to onset of meaningful deceleration, regen-blended system",General engineering knowledge that electric motor torque response is faster than hydraulic actuation,general engineering consensus (qualitative only),COUNTERFACTUAL_SENSITIVITY,Direction-only; must not drive a main quantitative conclusion. Usable for sensitivity sweeps that explicitly range over plausible magnitudes.
t_buildup,vehicle_response input; A0's actual treatment axis (validation use); potential future magnitude-quantification target,DOWNGRADED to COUNTERFACTUAL in Phase 0.3 - unresolved,s,not specified in accessible summary,driving-simulator PCW scenario,simulator,human driver operating brake pedal,time from brake onset to reach maximum/peak deceleration,arXiv:2112.09074 - Phase 0.3 could NOT re-verify this source actually measures build-up time (likely a TTC warning-trigger threshold instead),preprint / simulator study - re-check inconclusive,COUNTERFACTUAL_SENSITIVITY,"For A0 (pure numerical validation of the integrator against the closed form), ANY internally-consistent value is acceptable regardless of real-world anchoring - A0 does not need this to be EMPIRICAL_RANGE. For any future TYPE 3 magnitude claim (docs/CLAIM_LADDER.md), this parameter blocks that claim until re-anchored."
v_rolloff (threshold speed / floor fraction),"vehicle_response input - Task 8 decision: RETAINED, sensitivity-only",mechanism confirmed; no numeric threshold or floor fraction found,km/h (threshold); dimensionless (floor),"generic EVs (regen systems, general engineering description)",low speed / near standstill,not applicable,regenerative braking control logic,speed-dependent fade of regenerative torque approaching standstill,General EV powertrain engineering references + patent literature on creep-torque phase-out control,secondary/tertiary (engineering explainer + patent descriptions),COUNTERFACTUAL_SENSITIVITY,"Phase 0.4 Task 8 decision: retained (not dropped) because it is the only comparison with a genuinely open sign within the original A0/R1 framing - BUT must not become the project's main mechanism now that docs/CAUSAL_MODEL.md establishes a stronger, independently-justified non-trivial mechanism (withdrawal policy x a_coast) for A1. Explicitly must not drive the main conclusion."
"a_coast (regen-active, A1 W1-cell profile)",vehicle_response input; REVIVED in Phase 0.4 for A1 only (retired for A0/W0 in Phase 0.3),1-4 (also reported as 0.1-0.3 g fixed-mode),m/s^2,9 EV models (OpenLKA EV Kinematic Dataset fleet),not specified,naturalistic driving (mixed),accelerator/zero-command coast under withdrawal policy W1,"deceleration produced during an uncommanded (automation-withdrawn) interval, EV regen-active architecture",OpenLKA EV Kinematic Dataset README (D004) documented parameter description,dataset-maintainer documentation (not yet independently cross-checked against raw files),EMPIRICAL_RANGE,"Only meaningful under withdrawal policy W1 (docs/CAUSAL_MODEL.md) - not applicable to A0/W0, where this phase does not exist. This is the SAME parameter Phase 0.3 retired for A0's purposes; it is correctly scoped here, not reintroduced by accident."
"a_coast (no-coast baseline, A1 W1-cell profile)",vehicle_response input; REVIVED in Phase 0.4 for A1 only,"~0 (order 0.1-0.3, baseline drag)",m/s^2,generic passenger vehicles,any,any,coast-down / freewheel under withdrawal policy W1,"baseline deceleration from rolling resistance and aerodynamic drag alone, no active regen",General vehicle-dynamics coast-down testing literature (e.g. SAE 2012-01-0616 abstract-level),secondary (abstract-level only; full text not retrieved),EMPIRICAL_RANGE,"Paired with the regen-active row above to form A1's minimum 2x2 design cell (docs/CAUSAL_MODEL.md): {W0,W1} x {a_coast=0, a_coast>0}."
jerk_naturalistic_99th,"derived/monitored - plausibility check only, never a treatment or conclusion driver",2.6,m/s^3,not vehicle-specific (fleet naturalistic driving),mixed,mixed,"human-driven, normal (non-emergency) driving","99th percentile jerk, 1s-smoothed acceleration, 0.3s jerk window","Feng, Z. et al. (2017), Accident Analysis & Prevention",peer-reviewed empirical (naturalistic driving),VALIDATION_ONLY,Used only to sanity-check that chosen build-up parameters do not imply implausibly low jerk relative to ordinary driving - never a treatment variable or conclusion input.
