speed_kmh,parameter,class,low,high,unit,registry_id,provenance
60,t1,EXPLICIT ASSUMPTION INTERVAL,1.15,3.0,s,P02,"assumption interval for sensitivity analysis: TOR -> effective human braking. Lower end = UN R157 Annex 3 attentive-driver benchmark (0.4 s + 0.75 s, S02; a regulatory reference, not a takeover measurement); upper end = scenario choice. Not t_button, not Manual_Start, not the meta-analysis takeover time."
60,t2,SOURCE-SUPPORTED,0.05,0.17,s,P08,"hydraulic brake actuation delay, instrumented hard braking (S20); within the R13-H 0.6 s bound (S01)"
60,t3,EXPLICIT ASSUMPTION INTERVAL,0.3,1.2,s,P09,"assumption interval for sensitivity analysis: deceleration build-up (human x vehicle). Informed by S02 benchmark 0.6 s and S04 non-professional pedal build-up (0.83 s mean, up to 1.26 s); not a measured takeover build-up distribution"
60,a_max,SOURCE-SUPPORTED,6.43,9.1,m/s2,P10,dry-road braking capability: R13-H approval floor 6.43 (S01) to measured ~9.1 (S04)
60,f_auth,EXPLICIT ASSUMPTION INTERVAL,0.0,1.0,-,P24,"assumption: authority transfer at fraction f of the TOR -> effective-control interval (R157 permits deactivation by holding the steering control before braking, §6.2.5.2, or by a braking override, §6.3.2); not identified from D003"
60,a_sup,EXPLICIT ASSUMPTION INTERVAL,1.0,3.0,m/s2,P25,assumption interval for P2 supported deceleration; kept below the UN R157 emergency-manoeuvre threshold of 5.0 m/s2 (S02 §5.3.1.1); no direct source for its magnitude
60,a_drag,SOURCE-SUPPORTED,0.1264,0.2267,m/s2,P03,"coast/drag deceleration, EPA road-load 5th-95th percentile at the scenario speed (S07)"
100,t1,EXPLICIT ASSUMPTION INTERVAL,1.15,3.0,s,P02,"assumption interval for sensitivity analysis: TOR -> effective human braking. Lower end = UN R157 Annex 3 attentive-driver benchmark (0.4 s + 0.75 s, S02; a regulatory reference, not a takeover measurement); upper end = scenario choice. Not t_button, not Manual_Start, not the meta-analysis takeover time."
100,t2,SOURCE-SUPPORTED,0.05,0.17,s,P08,"hydraulic brake actuation delay, instrumented hard braking (S20); within the R13-H 0.6 s bound (S01)"
100,t3,EXPLICIT ASSUMPTION INTERVAL,0.3,1.2,s,P09,"assumption interval for sensitivity analysis: deceleration build-up (human x vehicle). Informed by S02 benchmark 0.6 s and S04 non-professional pedal build-up (0.83 s mean, up to 1.26 s); not a measured takeover build-up distribution"
100,a_max,SOURCE-SUPPORTED,6.43,9.1,m/s2,P10,dry-road braking capability: R13-H approval floor 6.43 (S01) to measured ~9.1 (S04)
100,f_auth,EXPLICIT ASSUMPTION INTERVAL,0.0,1.0,-,P24,"assumption: authority transfer at fraction f of the TOR -> effective-control interval (R157 permits deactivation by holding the steering control before braking, §6.2.5.2, or by a braking override, §6.3.2); not identified from D003"
100,a_sup,EXPLICIT ASSUMPTION INTERVAL,1.0,3.0,m/s2,P25,assumption interval for P2 supported deceleration; kept below the UN R157 emergency-manoeuvre threshold of 5.0 m/s2 (S02 §5.3.1.1); no direct source for its magnitude
100,a_drag,SOURCE-SUPPORTED,0.218,0.4002,m/s2,P03,"coast/drag deceleration, EPA road-load 5th-95th percentile at the scenario speed (S07)"
130,t1,EXPLICIT ASSUMPTION INTERVAL,1.15,3.0,s,P02,"assumption interval for sensitivity analysis: TOR -> effective human braking. Lower end = UN R157 Annex 3 attentive-driver benchmark (0.4 s + 0.75 s, S02; a regulatory reference, not a takeover measurement); upper end = scenario choice. Not t_button, not Manual_Start, not the meta-analysis takeover time."
130,t2,SOURCE-SUPPORTED,0.05,0.17,s,P08,"hydraulic brake actuation delay, instrumented hard braking (S20); within the R13-H 0.6 s bound (S01)"
130,t3,EXPLICIT ASSUMPTION INTERVAL,0.3,1.2,s,P09,"assumption interval for sensitivity analysis: deceleration build-up (human x vehicle). Informed by S02 benchmark 0.6 s and S04 non-professional pedal build-up (0.83 s mean, up to 1.26 s); not a measured takeover build-up distribution"
130,a_max,SOURCE-SUPPORTED,6.43,9.1,m/s2,P10,dry-road braking capability: R13-H approval floor 6.43 (S01) to measured ~9.1 (S04)
130,f_auth,EXPLICIT ASSUMPTION INTERVAL,0.0,1.0,-,P24,"assumption: authority transfer at fraction f of the TOR -> effective-control interval (R157 permits deactivation by holding the steering control before braking, §6.2.5.2, or by a braking override, §6.3.2); not identified from D003"
130,a_sup,EXPLICIT ASSUMPTION INTERVAL,1.0,3.0,m/s2,P25,assumption interval for P2 supported deceleration; kept below the UN R157 emergency-manoeuvre threshold of 5.0 m/s2 (S02 §5.3.1.1); no direct source for its magnitude
130,a_drag,SOURCE-SUPPORTED,0.3098,0.5897,m/s2,P03,"coast/drag deceleration, EPA road-load 5th-95th percentile at the scenario speed (S07)"
