claim_id,manuscript_section,claim_statement,supporting_sources,evidence_type,support_directness,allowed_manuscript_phrasing,prohibited_overclaim
C01,Introduction,"Fixed takeover time budgets (e.g., 4s, 7s) fail to guarantee physical recoverability across varied kinematics and vehicle dynamics.","L001 (Deng 2024), L002 (Liang 2026), L007 (Tanshi 2025), L015 (Papadimitriou 2024), L016 (SUMO/TransAID)",Systematic Review / Empirical / Simulation,Direct Motivation,"Fixed scalar time budgets do not account for kinematic state variations and vehicle deceleration physics, as previously highlighted by Papadimitriou et al. (2024) and Deng et al. (2024).","Claiming that our work is the first to identify that fixed TOR budgets are insufficient or the first to argue for including braking time in takeover evaluation."
C02,Introduction / Model,"Human driver reaction latency t1 exhibits substantial variability under non-driving secondary tasks (bounded in [0.7, 1.5] s).","L002 (Liang 2026), D002 (TD2D 2025), D003 (TU Delft 2024), L014 (Markkula 2016)",Empirical Dataset / Experimental,Calibration Anchor,"Driver reaction latency is modeled as an exogenous interval [0.7, 1.5] s grounded in recent empirical takeover benchmarks.","Claiming that we developed a new cognitive model of human perception and reaction."
C03,Model Formulation,"Emergency takeover braking response before a critical stationary obstacle can be approximated by an open-loop full-brake step demand.","L003 (Roche 2020), L015 (Papadimitriou 2024)",Simulator Experiment,Behavioral Anchor,"Drivers in critical takeover emergencies frequently apply maximum emergency braking, supporting a full-brake step approximation.","Asserting that all real-world human drivers behave as pure open-loop step controllers in all contexts."
C04,Model Formulation,"Pre-effective-human-braking longitudinal deceleration (a_pre) ranges between 0.0 and 3.0 m/s^2 depending on vehicle deceleration dynamics.","L004 (ScienceDirect 2024), L006 (Vigil 2023), D004 (OpenLKA 2024)",Empirical Field Test / Simulator,Direct Parameter Anchor,"Pre-effective deceleration during reaction latency is bounded within [0.0, 3.0] m/s^2 based on published EV regenerative and conventional deceleration data.","Asserting EV safety superiority or generalizing beyond the bounded longitudinal kinematic window."
C05,Model Formulation,"Physical brake systems introduce deceleration-response delay t2 (0.05-0.17 s) and response build-up time t3 (0.15-0.45 s).","P&P_2014 (Paquette 2014), L011 (IIHS 2023)",Empirical Vehicle Testing,Direct Parameter Anchor,"Braking deceleration is mediated by a response delay and a linear ramp-up phase bounded by empirical braking literature.","Claiming novel discovery of brake system lag or actuator mechanics."
C06,Related Work,"Automated takeover literature has predominantly focused on driver cognitive factors while neglecting vehicle deceleration transients.","L010 (McDonald 2019), L015 (Papadimitriou 2024)",Literature Review / Modeling,Direct Motivation,"While prior work has introduced maneuver execution time into takeover safety (e.g. Papadimitriou et al., 2024), existing models continue to treat vehicle deceleration as point-mass or empirical traces, omitting analytical transient decomposition.","Claiming no prior researcher ever thought about vehicle braking or authority-transition safety."
C07,Analytical Boundary,"The minimum takeover lead time T_required before a stationary hazard is given by an exact closed-form algebraic expression.","Branch D0 Derivation (tests/test_d0_analytical_boundary.py)",Analytical Deduction,Direct Deduction,"We derive a closed-form algebraic expression for minimum required takeover lead time, extending classical point-mass models by explicitly decomposing pre-effective response and actuator transients.","Claiming priority on the general concept of stopping-based TOR triggering, or claiming an unprecedented mathematical discovery."
C08,Analytical Boundary,"Pre-TOR acceleration history does not independently affect post-TOR recoverability once state (x_TOR, v_TOR) is fixed.","Branch B0 Proof / L013 (Transp. Res. Part D 2025)",Analytical Deduction / Contrast,Negative Result,"Within a longitudinal Markov state formulation, pre-TOR acceleration history has no independent causal effect on stopping distance.","Generalizing history-independence to non-Markovian driver cognitive states or tire thermal dynamics."
C09,Identifiability Analysis,"Driver-vehicle internal model mismatch is non-identifiable on existing public datasets and has zero effect under full-brake step inputs.","Branch C0 Audit / L012 (Transp. Res. Part F 2018), D001 (ADAS-TO 2024)",Theoretical Audit / Forensic,Identifiability Barrier,"Under the modeled full-brake step response, pedal gain mismatch has zero physical pathway to affect stopping distance; furthermore, naturalistic datasets lack vehicle familiarity labels.","Claiming driver unfamiliarity never matters in real-world driving."
C10,Robustness / Verification,"The analytical oracle provides a strictly conservative upper bound on required time budget relative to numerical simulation.","Branch D0 / E0 (tests/test_d0_analytical_boundary.py)",Analytical & Numerical,Direct Verification,"The analytical boundary strictly upper-bounds numerical simulation across the parameter domain (T_oracle >= T_sim).","Claiming that the conservative bound proves absence of collision under unmodeled physical effects."
C11,Validation Status,"The proposed framework achieves parameter-level validation (V1) against published empirical datasets, while trajectory validation remains unidentifiable.","Branch E0 / Phase 0 Dataset Forensics (D001-D005)",Dataset Forensic,Validation Scope,"Model parameters are grounded in empirical ranges (V1); direct trajectory and outcome validation remain bounded by public dataset limitations.","Claiming field-tested, vehicle-validated, or real-world crash-proven safety boundaries."
